tool_id,name,taaft_tool_url,external_website,tag_primary,tags_secondary,description,pricing,pricing_min_monthly_usd,country,released,released_iso,rating,reviews_count,saves_or_votes,source_task_url,source_task_name,all_source_task_urls,scraped_at_iso
b35d5760474048aa,.AI Lawyer,https://theresanaiforthat.com/gpt/ai-lawyer-1704719384,https://chat.openai.com/g/g-ncHOn3H6d-ai-lawyer?ref=taaft,Legal advice,.AI Lawyer,,,,,,,,,,https://theresanaiforthat.com/task/legal-advice,Legal advice,https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:45.185Z
f0fd0f819ac07f53,(A.I.) Legal Guru (USA),https://theresanaiforthat.com/gpt/a-i-legal-guru-usa,https://chat.openai.com/g/g-7KGFNbsvG-a-i-legal-guru-usa?ref=taaft,Legal advice,(A.I.) Legal Guru (USA),,,,,,,,,,https://theresanaiforthat.com/task/legal-advice,Legal advice,https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:46.618Z
1eb02b29bbb7e0f8,@AI Lawyer,https://theresanaiforthat.com/ai/ai-lawyer,,⚖️ Legal,"Go to 📚 Legal advice; 📚; 📝 Contract reviews (34); 📝; Contract reviews; (34); 💸 Bankruptcy (2); 💸; Bankruptcy; (2); AI Lawyer 22,740; AI Lawyer; Harvey 14,316; Harvey; Donotpay 9,070; Donotpay; Go Legal AI 5,072; Go Legal AI; AI Lawyer 22,747; Harvey 14,323; Donotpay 9,072; Go Legal AI 5,074",,,,,,,2,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/contract-reviews; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
2da20286acc13083,@ChatLaw,https://theresanaiforthat.com/ai/chatlaw,,⚖️ Legal,,,,,,,,,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
0653e8236c39ef1d,@ContractCrab,https://theresanaiforthat.com/ai/contractcrab,https://base44.pxf.io/c/6540453/2477538/25619?trafcat=hp,⚖️ Legal,"Latch 3,665; Latch; Maigon 3,404; Maigon; ContractReader 3,256; ContractReader; Superlegal 3,228; Superlegal; Latch 3,666; Maigon 3,405; ContractReader 3,257; Superlegal 3,236; Apr 24, 2024; 46,248 AI tools for; AI tools; 11,366 tasks; tasks; and 5,192 jobs; jobs; Sponsor; Base44 💻 Vibe coding; 💻 Vibe coding; 185,669; ⌘ + K; + K; Search⌘ + K; Search; ContractCrab","ContractCrab is an online AI-powered tool designed for summarizing contracts. It extracts key points from lengthy legal documents, providing users a quick and convenient summary. This tool enables users to make well-informed decisions and saves time by significantly reducing the effort spent on revi...",Free mode Personal Work Creativity Random Deals Search ⌘ + K Log in Sign up,0,,,,3,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/contract-reviews; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
d01d0c0e97fb374d,@Donotpay,https://theresanaiforthat.com/ai/donotpay,,⚖️ Legal,"Go to 📚 Legal advice; 📚; 📝 Contract reviews (34); 📝; Contract reviews; (34); 💸 Bankruptcy (2); 💸; Bankruptcy; (2); AI Lawyer 22,740; AI Lawyer; Harvey 14,316; Harvey; Donotpay 9,070; Donotpay; Go Legal AI 5,072; Go Legal AI; AI Lawyer 22,747; Harvey 14,323; Donotpay 9,072; Go Legal AI 5,074",,,,,,,2,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/contract-reviews; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
ac1addf52ffc88b8,@DorothyAI,https://theresanaiforthat.com/ai/dorothyai,,⚖️ Legal,"🔬 Patent analysis (7); 🔬; Patent analysis; (7); Edge 3,376; Edge; Solve Intelligence 2,948; Solve Intelligence",,,,,,,3,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/patents,2026-02-20T04:14:47.434Z
cd0b611b965cbcdd,@Enidia AI SARL-S,https://theresanaiforthat.com/ai/enidia-ai-sarl-s,https://www.enidia.ai/?ref=taaft,⚖️ Legal,Enidia AI SARL-S,,,,,,,,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
771e9832082155af,@Go Legal AI,https://theresanaiforthat.com/ai/go-legal-ai,,⚖️ Legal,"Go to 📚 Legal advice; 📚; 📝 Contract reviews (34); 📝; Contract reviews; (34); 💸 Bankruptcy (2); 💸; Bankruptcy; (2); AI Lawyer 22,740; AI Lawyer; Harvey 14,316; Harvey; Donotpay 9,070; Donotpay; Go Legal AI 5,072; Go Legal AI; AI Lawyer 22,747; Harvey 14,323; Donotpay 9,072; Go Legal AI 5,074",,,,,,,2,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/contract-reviews; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
2e8b330dd7f96a41,@Layman Law,https://theresanaiforthat.com/ai/layman-law,,⚖️ Legal,"Go to 📚 Legal advice; 📚; 📝 Contract reviews (34); 📝; Contract reviews; (34); 💸 Bankruptcy (2); 💸; Bankruptcy; (2); AI Lawyer 22,740; AI Lawyer; Harvey 14,316; Harvey; Donotpay 9,070; Donotpay; Go Legal AI 5,072; Go Legal AI; AI Lawyer 22,747; Harvey 14,323; Donotpay 9,072; Go Legal AI 5,074",,,,,,,2,,,https://theresanaiforthat.com/task/legal,⚖️ Legal,https://theresanaiforthat.com/task/legal; https://theresanaiforthat.com/task/contract-reviews; https://theresanaiforthat.com/task/legal-advice,2026-02-20T04:46:53.049Z
